title,price,rating,availability,link,category,price_in_inr
It's Only the Himalayas,45.17,Two,In stock,https://books.toscrape.com/its-only-the-himalayas_981/index.html,Travel,5239.72
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock,https://books.toscrape.com/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Travel,5733.88
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,In stock,https://books.toscrape.com/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Travel,5668.92
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,In stock,https://books.toscrape.com/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Travel,4285.04
Under the Tuscan Sun,37.33,Three,In stock,https://books.toscrape.com/under-the-tuscan-sun_504/index.html,Travel,4330.28
A Summer In Europe,44.34,Two,In stock,https://books.toscrape.com/a-summer-in-europe_458/index.html,Travel,5143.4400000000005
The Great Railway Bazaar,30.54,One,In stock,https://books.toscrape.com/the-great-railway-bazaar_446/index.html,Travel,3542.64
A Year in Provence (Provence #1),56.88,Four,In stock,https://books.toscrape.com/a-year-in-provence-provence-1_421/index.html,Travel,6598.08
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One,In stock,https://books.toscrape.com/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,Travel,2692.36
Neither Here nor There: Travels in Europe,38.95,Three,In stock,https://books.toscrape.com/neither-here-nor-there-travels-in-europe_198/index.html,Travel,4518.200000000001
"1,000 Places to See Before You Die",26.08,Five,In stock,https://books.toscrape.com/1000-places-to-see-before-you-die_1/index.html,Travel,3025.2799999999997
Sharp Objects,47.82,Four,In stock,https://books.toscrape.com/sharp-objects_997/index.html,Mystery,5547.12
"In a Dark, Dark Wood",19.63,One,In stock,https://books.toscrape.com/in-a-dark-dark-wood_963/index.html,Mystery,2277.08
The Past Never Ends,56.5,Four,In stock,https://books.toscrape.com/the-past-never-ends_942/index.html,Mystery,6554.0
A Murder in Time,16.64,One,In stock,https://books.toscrape.com/a-murder-in-time_877/index.html,Mystery,1930.24
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock,https://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Mystery,5115.6
The Last Mile (Amos Decker #2),54.21,Two,In stock,https://books.toscrape.com/the-last-mile-amos-decker-2_754/index.html,Mystery,6288.36
That Darkness (Gardiner and Renner #1),13.92,One,In stock,https://books.toscrape.com/that-darkness-gardiner-and-renner-1_743/index.html,Mystery,1614.72
Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock,https://books.toscrape.com/tastes-like-fear-di-marnie-rome-3_742/index.html,Mystery,1240.04
A Time of Torment (Charlie Parker #14),48.35,Five,In stock,https://books.toscrape.com/a-time-of-torment-charlie-parker-14_657/index.html,Mystery,5608.6
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,https://books.toscrape.com/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Mystery,1940.68
Poisonous (Max Revere Novels #3),26.8,Three,In stock,https://books.toscrape.com/poisonous-max-revere-novels-3_627/index.html,Mystery,3108.8
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,https://books.toscrape.com/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Mystery,6305.76
Most Wanted,35.28,Three,In stock,https://books.toscrape.com/most-wanted_623/index.html,Mystery,4092.48
Hide Away (Eve Duncan #20),11.84,One,In stock,https://books.toscrape.com/hide-away-eve-duncan-20_620/index.html,Mystery,1373.44
Boar Island (Anna Pigeon #19),59.48,Three,In stock,https://books.toscrape.com/boar-island-anna-pigeon-19_613/index.html,Mystery,6899.679999999999
The Widow,27.26,Two,In stock,https://books.toscrape.com/the-widow_609/index.html,Mystery,3162.1600000000003
Playing with Fire,13.71,Three,In stock,https://books.toscrape.com/playing-with-fire_602/index.html,Mystery,1590.3600000000001
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,In stock,https://books.toscrape.com/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Mystery,2942.92
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,In stock,https://books.toscrape.com/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Mystery,6066.799999999999
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,In stock,https://books.toscrape.com/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Mystery,2423.2400000000002
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,In stock,https://books.toscrape.com/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,Mystery,2876.8
In the Woods (Dublin Murder Squad #1),38.38,Two,In stock,https://books.toscrape.com/in-the-woods-dublin-murder-squad-1_433/index.html,Mystery,4452.08
The Silkworm (Cormoran Strike #2),23.05,Five,In stock,https://books.toscrape.com/the-silkworm-cormoran-strike-2_280/index.html,Mystery,2673.8
The Exiled,43.45,Three,In stock,https://books.toscrape.com/the-exiled_247/index.html,Mystery,5040.200000000001
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,In stock,https://books.toscrape.com/the-cuckoos-calling-cormoran-strike-1_239/index.html,Mystery,2228.36
Extreme Prey (Lucas Davenport #26),25.4,Three,In stock,https://books.toscrape.com/extreme-prey-lucas-davenport-26_154/index.html,Mystery,2946.3999999999996
Career of Evil (Cormoran Strike #3),24.72,Two,In stock,https://books.toscrape.com/career-of-evil-cormoran-strike-3_137/index.html,Mystery,2867.52
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,In stock,https://books.toscrape.com/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,Mystery,6693.200000000001
The Girl You Lost,12.29,Five,In stock,https://books.toscrape.com/the-girl-you-lost_66/index.html,Mystery,1425.6399999999999
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,In stock,https://books.toscrape.com/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,Mystery,1838.6
Blood Defense (Samantha Brinkman #1),20.3,Three,In stock,https://books.toscrape.com/blood-defense-samantha-brinkman-1_8/index.html,Mystery,2354.8
1st to Die (Women's Murder Club #1),53.98,One,In stock,https://books.toscrape.com/1st-to-die-womens-murder-club-1_2/index.html,Mystery,6261.679999999999
Tipping the Velvet,53.74,One,In stock,https://books.toscrape.com/tipping-the-velvet_999/index.html,Historical Fiction,6233.84
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock,https://books.toscrape.com/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Historical Fiction,3444.04
